0,185,71
0,182,72
0,182,69
0,205,73
0,187,72
0,198,74
0,166,71
0,195,74
0,225,75
0,180,72
0,215,75
0,167,72
0,155,69
0,195,74
0,213,74
0,198,74
0,222,76
0,203,71
0,193,76
0,175,71
0,211,76
0,214,73
0,230,77
0,210,68
0,190,71
0,184,74
0,158,69
0,204,73
0,210,77
0,200,72
0,218,74
0,184,74
0,203,71
0,187,71
0,185,72
0,153,71
0,185,76
0,194,75
0,168,70
0,215,70
0,150,72
0,230,75
1,174,71
1,212,75
1,195,69
1,222,74
1,187,72
1,185,71
1,202,74
1,194,71
1,235,70
1,184,68
1,205,74
1,208,74
1,215,74
1,175,72
1,195,74
1,186,73
1,215,73
1,185,70
1,183,70
1,200,75
1,187,74
1,185,69
1,217,72
1,195,72
1,187,72
1,210,75
1,222,74
1,192,72
1,222,70
1,217,70
1,188,69
1,186,69
1,183,75
1,206,69
1,193,71
1,217,74
1,200,72
1,222,74
1,212,70
1,192,70
1,174,70
1,208,71
1,181,72
1,262,76
1,231,71
1,245,75
1,250,74
1,224,74
1,193,71
1,180,70
1,164,68
1,210,71
1,157,70
1,222,73
1,221,72
1,236,72
1,282,76
1,236,74
1,217,74
1,210,75
1,267,74
1,295,73
1,307,75
1,224,72
1,211,68
1,283,75
1,299,76
1,283,76
1,282,76
1,215,74
1,270,73
1,259,72
1,285,76
1,250,72
1,220,74
1,291,77
1,278,76
1,270,76
1,270,74
1,281,76
1,370,79
1,231,75
1,225,76
1,280,75
1,267,76
1,291,75
1,285,76
1,213,74
1,205,74
1,200,75
1,207,74
1,220,75
1,197,73
1,197,77
1,197,76
1,207,74
1,186,73
1,210,75
1,191,75
1,218,75
1,199,73
1,349,74
1,277,77
1,294,77
1,235,75
1,247,75
1,235,75
1,271,73
1,276,75
1,254,76
1,270,75
